blockId,pageId,type,size,content,order
VwjCf_mMP,_2aJ2MTY0,body,full,"<p class='ql-align-justify'>In the previous demo, most of the user stories and features presented revolved around user <span style='background-color: rgb(235, 214, 255);'>authorization and basic operations</span> of persistent storage on users, workspaces, and pages. On user authorization, the user signup with password encryption, login and logout features were implemented. To further improve security, the API endpoints were provided with <strong style='color: rgb(107, 36, 178);'>authentication middleware</strong> which checks whether the individual sending request from the server is authenticated. As mentioned, basic operations on workspaces and pages were also shown in the previous presentation. For this week's demo, multiple <span style='background-color: rgb(235, 214, 255);'>operations and nice to have</span> features were implemented on <span style='background-color: rgb(235, 214, 255);'>blocks and pages</span>.</p>",1
zXPgESa-s,_2aJ2MTY0,header1,full,"<p><em>Required User Stories</em></p>",2
U98gaMA-J,_2aJ2MTY0,header3,full,"<p class='ql-align-center'><em style='background-color: rgb(250, 204, 204);'>View and Edit Workspace Information</em></p>",3
NZcDXti-c,_2aJ2MTY0,image,full,http://localhost:3000/static/block_NZcDXti-c.png,4
wBiMVAb1i,_2aJ2MTY0,header3,full,"<p class='ql-align-center'><em style='background-color: rgb(204, 224, 245);'>Update Block Contents, Types, and Styles</em></p>",5
kyP0QVik3,_2aJ2MTY0,header1,full,"<p><em>Header One</em></p>",6
o0gVYFpO_,_2aJ2MTY0,body,half,"<p class='ql-align-right'><strong style='color: rgb(0, 71, 178);'><em>Feel Special</em></strong> is the eighth extended play by South Korean girl group Twice. It was released by JYP Entertainment on September 23, 2019, and features the title track of the same name as well as a Korean version of their Japanese single 'Breakthrough'. It follows their April 2019 EP, Fancy You. Consisting of seven tracks featuring genres from EDM, hip hop and '90s music, all members of Twice participated in the album as songwriters. Music critics complimented the album production, with the EP being a commercial success for the group recording sales of over 500,000 copies. It was Twice's best-selling album until the release of their succeeding EP, More &amp; More. <a href='https://www.youtube.com/watch?v=3ymwOvzhwHs' rel='noopener noreferrer' target='_blank' contenteditable='false'>Feel Special</a> is an extended play consisting of seven tracks featuring genres from EDM, hip hop and 90s music.</p>",7
xwlRXMdTc,_2aJ2MTY0,body,half,"<blockquote>You make me feel special. No matter how this world sometimes brings me down, and even when cruel words hurt me so much now. I smile again because you are with me. Thatâ€™s what you do. Again, I feel special. One moment I feel like Iâ€™m nothing at all like no one would notice if I will fade away. But when I hear you calling me, I feel loved. I feel so special. <em style='background-color: rgb(204, 224, 245);'>You make me feel special</em>. No matter how this world sometimes brings me down, and even when cruel words hurt me so much now. I smile again because you are with me. Thatâ€™s what you do. Again, I feel special. One moment I feel like Iâ€™m nothing at all like no one would notice if I will fade away. But when I hear you calling me, I feel loved.</blockquote>",8
WRY8btBhb5,_2aJ2MTY0,header2,full,"<p><s>Header Two</s></p>",9
tuCJyuPmI,_2aJ2MTY0,body,full,"<p><strong style='color: rgb(0, 71, 178);'>Gorou's lines</strong>: The troops seem to picture me as someone of extraordinary abilities â€” I think it might be because of our streak of victories lately. Now they always come to me for advice on even the most trivial matters. When I see the expectant look in their eyes, it's impossible for me to turn them away, but at the same time, <span style='background-color: rgb(204, 224, 245);'>my strategic ability is limited</span>... All I can do is give some general pointers, or failing that, respond based on my gut feeling alone. I just hope I'm not letting them down.</p>",10
